Comments,ConversionID,Date,Claim Manager,Service Manager,Officer Name,NPS Score,FCR Score,Initial Direction,Workgroup
"Forgot to pop a Claritin pill this morning, lord give my allergies the strength",'24',"February 2, 2023",Eric Santos,John Smith,Mack Valenzuela,3,25,Inbound,B
@Sheema_Sparazzi got it. It was a Claritin. Smh why that was in my pocket I have no idea,'25',"March 3, 2023",Dan Trolly,Alex Trinidad,Virginia Simon,2,89,Outbound,C
"Or for some reason, Claritin always knocks me out...",'26',"April 4, 2023",Eric Santos,Dina Tuto,Mack Valenzuela,1,100,Inbound,D
the pharmacy had me sign something when I bought the Claritin-D saying I wouldn't use it to make drugs lol,'27',"June 5, 2023",Eric Santos,Alex Trinidad,Mack Valenzuela,2,87,Outbound,A
Anyone at HBU have some claritin? I'm sniffing like I'm #BenWhiteman,'28',"July 6, 2023",Dan Trolly,Dennis Uy,Scarlet Phillips,3,54,Inbound,B
She got allergies ? Give her that Claritin D _ÛªÛ_Ûª_ÊÛÓÌ¤,'29',"August 7, 2023",Alice Wonderland,John Smith,Virginia Simon,3,34,Outbound,C
Claritin doesn't even work....,'30',"September 8, 2023",Alice Wonderland,Dennis Uy,Royalty Foster,0,89,Inbound,D
"I've taken thera flu,Nyquil, Claritin, sudafed, nothing works final option: pay a marksman to blow my nose clean off my face, #IJS",'31',"October 9, 2023",Eric Santos,Dina Tuto,Royalty Foster,1,20,Outbound,A
"After having scoffed at my Claritin-D offensive, it's clear the ogre living in my sinuses is both ill-tempered &amp; indefatigable. I hate him.",'32',"November 10, 2023",Dan Trolly,Dennis Uy,Virginia Simon,1,48,Inbound,B
"Save 9% off Claritin Childrens Indoor and Outdoor Allergy Relief, 12 hr RediTabs - 10 Ora OverstockDrugstore http://t.co/nPwTXW9q",'33',"January 11, 2024",Dan Trolly,Dennis Uy,Scarlet Phillips,2,59,Outbound,C
Still got nasal flow I think I need some claritin. - @GUCCI1017,'34',"February 12, 2024",Alice Wonderland,John Smith,Royalty Foster,3,87,Inbound,D
Praying this sore throat is from allergies and that a little Claritin does the trick_ÛªÛ_Ì__Ì_å_ÛªÛ_Ûª_Ì_å_ÛªÛ_ÛªÌ¢Ûª__ÛªÛ_Ì_åÊÌ_Õ_ÛªÛ_Ì_åÊÛÓÌ¤,'35',"March 13, 2024",Dan Trolly,Alex Trinidad,Mack Valenzuela,3,92,Outbound,A
what will I regret more at 3pm? That I finished my coffee w/in the past hour? Or that I finally took my Claritin with the last of my coffee?,'36',"April 14, 2024",Dan Trolly,Dennis Uy,Royalty Foster,2,75,Inbound,B
"@lainey_says ur a pharmacist. help Jon RT @JonathanRKnight: Nurse's: Allegra, Claritin, or Zyrtec? They have diff ingredients. What's best?",'37',"May 15, 2024",Dan Trolly,Dina Tuto,Scarlet Phillips,2,66,Inbound,C
Niggas want dat claritin d son,'38',"June 16, 2024",Alice Wonderland,John Smith,Royalty Foster,3,37,Outbound,D
Her allergies acting up? Give her the Claritin-D.,'39',"July 17, 2024",Alice Wonderland,John Smith,Virginia Simon,3,16,Inbound,A
@lexbdatbitch tell me about it I took a Benadryl and a Claritin NOTHING works,'40',"August 18, 2024",Eric Santos,Alex Trinidad,Mack Valenzuela,1,39,Outbound,B
Good thing Claritin starts working immediately #sikee #sneezingfordays,'41',"September 19, 2024",Dan Trolly,Alex Trinidad,Scarlet Phillips,4,39,Inbound,C
Claritin tome! #ihateallergies,'42',"October 20, 2024",Alice Wonderland,Dina Tuto,Royalty Foster,3,72,Outbound,D
@MooreClick I get vertigo and hallucinations on Claritin. Severe mood swings on Yazmin. There was a reason I didn't want the flu shot.,'43',"November 10, 2023",Diana Medoza,Dina Tuto,Royalty Foster,1,72,Outbound,D
Just what I need. Stupid allergies #claritin #liquigels  http://t.co/89aQzt0H,'44',"November 10, 2024",Diana Medoza,Dina Tuto,Royalty Foster,3,72,Outbound,D
Chasing a claritin-d with a cran &amp; vodka is okay right?,'45',"January 1, 2023",Alice Wonderland,Dina Tuto,Scarlet Phillips,2,0,Outbound,A
Does Claritin not work anymore?,'46',"February 2, 2023",Eric Santos,John Smith,Mack Valenzuela,1,25,Inbound,B
@JonathanRKnight Claritin,'47',"March 3, 2023",Dan Trolly,Alex Trinidad,Virginia Simon,2,89,Outbound,C
Check out the October specials on Claritin and use the money-saving coupons toward your next purchases at commissaries! http://t.co/1SoSR3Xi,'48',"April 4, 2023",Eric Santos,Dina Tuto,Mack Valenzuela,2,100,Inbound,D
@Quick2_DisMiss hit up that claritin d and mucinex,'49',"June 5, 2023",Eric Santos,Alex Trinidad,Mack Valenzuela,3,87,Outbound,A
Ambroxol claritin metilprednisolon,'50',"July 6, 2023",Dan Trolly,Dennis Uy,Scarlet Phillips,2,54,Inbound,B
"Trying out Alegra for a few days as a change in allergy meds.  So far, my eyes still itch.  Claritin may remain king.",'51',"August 7, 2023",Alice Wonderland,John Smith,Virginia Simon,3,34,Outbound,C
"The only things I am allergic to are Allegra, Zyrtec, Claritin, and Benadryl.",'52',"September 8, 2023",Alice Wonderland,Dennis Uy,Royalty Foster,1,89,Inbound,D
Nobody wants Joe's Claritin D,'53',"October 9, 2023",Eric Santos,Dina Tuto,Royalty Foster,1,20,Outbound,A
"Girl says shes sick, it means she wants dat D...Claritin D",'54',"November 10, 2023",Dan Trolly,Dennis Uy,Virginia Simon,3,48,Inbound,B
My face hurts.\n\n\nSomebody buy me Claritin or something :(,'55',"January 11, 2024",Dan Trolly,Dennis Uy,Scarlet Phillips,3,59,Outbound,C
@macman0204 I take Claritin.,'56',"February 12, 2024",Alice Wonderland,John Smith,Royalty Foster,3,87,Inbound,D
"Thank you, science, for the invention of Claritin D12, which is the only thing keeping me sane and allowing me sleep",'57',"March 13, 2024",Dan Trolly,Alex Trinidad,Mack Valenzuela,4,92,Outbound,A
"yeah i totally want the d.\nthe claritin d, that is. itÛª_Ûª_Ì__s allergy season.",'58',"April 14, 2024",Dan Trolly,Dennis Uy,Royalty Foster,3,75,Inbound,B
"Hey Claritin, it's been 6 hours so feel free to kick in any minute. Sincerely, the girl with the stuffiest nose.",'59',"May 15, 2024",Dan Trolly,Dina Tuto,Scarlet Phillips,2,66,Inbound,C
"Praise claritin jesus, I can breathe out of one nostril",'60',"June 16, 2024",Alice Wonderland,John Smith,Royalty Foster,4,37,Outbound,D
"If she txt you ""Heyy I'm sick"" she probably wants the claritin-D\n@Shewantyourdick",'61',"July 17, 2024",Alice Wonderland,John Smith,Virginia Simon,3,16,Inbound,A
If she's sick..::I give her the Allegra-D while @AlexxCain gives her the Claritin-D and @andrew6ardoin takes D-Bol and @GavinSantangelo isaD,'62',"August 18, 2024",Eric Santos,Alex Trinidad,Mack Valenzuela,2,39,Outbound,B
"""@ShelovesTheDick: if she sneezes, give her claritin D.""",'63',"September 19, 2024",Dan Trolly,Alex Trinidad,Scarlet Phillips,2,39,Inbound,C
"Ima have to dope myself up on dis Zyrtec, Benadryl, r Claritin.",'64',"October 20, 2024",Alice Wonderland,Dina Tuto,Royalty Foster,3,72,Outbound,D
"@SheCanGo Allegra. Benedryl, Claritin, sudafed, afrin...Mucinex!!!!",'65',"November 10, 2023",Diana Medoza,Dina Tuto,Royalty Foster,2,72,Outbound,D
@cmonlyn Bihh what's up with you and these weird ass tweets?? Claritin got u high???,'66',"November 10, 2024",Diana Medoza,Dina Tuto,Royalty Foster,1,72,Outbound,D
"Claritin D\nCommercial, \nUnion Status SAG\nConflicts Allergy-meds and Upper Respiratory-Meds\nRun(Usage) network... http://t.co/BpuIzrWX",'67',"January 1, 2023",Alice Wonderland,Dina Tuto,Scarlet Phillips,2,0,Outbound,A
Advil + Benadryl + Claritin = Sleeping Through the Night #hopefully,'68',"February 2, 2023",Eric Santos,John Smith,Mack Valenzuela,3,25,Inbound,B
@DonnRdd hehe try claritin or benadryl?,'69',"March 3, 2023",Dan Trolly,Alex Trinidad,Virginia Simon,3,89,Outbound,C
These Claritin RediTabs are so convenient.,'70',"April 4, 2023",Eric Santos,Dina Tuto,Mack Valenzuela,3,100,Inbound,D
"If she texts you ""Heyy I'm sick,"" you'd better give her the Claritin D.",'71',"June 5, 2023",Eric Santos,Alex Trinidad,Mack Valenzuela,3,87,Outbound,A
"Allergy Medications Blog: ""How Does Claritin D Allergy Medication Work?"" : http://t.co/g0YVff0T",'72',"July 6, 2023",Dan Trolly,Dennis Uy,Scarlet Phillips,3,54,Inbound,B
@ninjag12 claritin! ÛªÛÒÌ_å_ÛªÛÒÌ_åÛª_,'73',"August 7, 2023",Alice Wonderland,John Smith,Virginia Simon,2,34,Outbound,C
"For Claritin to be as costly as it is, you'd think it would actually work?!",'74',"September 8, 2023",Alice Wonderland,Dennis Uy,Royalty Foster,1,89,Inbound,D
@maxdkaplan Claritin D x Sugar Free Red Bull by Donatella Versace for Nordstrom Rack,'75',"October 9, 2023",Eric Santos,Dina Tuto,Royalty Foster,2,20,Outbound,A
Feeling a bit better but not fully up to snuff.   Claritin D did really help though.,'76',"November 10, 2023",Dan Trolly,Dennis Uy,Virginia Simon,3,48,Inbound,B
"@ErinEdens I just wanna freaking stop sneezing. It's driving me insane. And allegra and claritin do not work for me, zyrtec used to be my",'77',"January 11, 2024",Dan Trolly,Dennis Uy,Scarlet Phillips,1,59,Outbound,C
Ûª_Ûª_ÛªÕ@iSpeakComedy: If a girl sends you the text: Heyy im sick.\nShe wants the Claritin DÛª_Ûª_Ì_å @maryxmckennax21,'78',"February 12, 2024",Alice Wonderland,John Smith,Royalty Foster,3,87,Inbound,D
claritin.....hahahahaha,'79',"March 13, 2024",Dan Trolly,Alex Trinidad,Mack Valenzuela,1,92,Outbound,A
Harry can be part of a proactive commercial his skin is almost claritin clear wrong product oops,'80',"April 14, 2024",Dan Trolly,Dennis Uy,Royalty Foster,1,75,Inbound,B
@juliabx33 no I'm so sick!! I wish it just keeps getting worse. And I can only take Claritin one a day and 1 cough drop every 2 hours!,'81',"May 15, 2024",Dan Trolly,Dina Tuto,Scarlet Phillips,1,66,Inbound,C
I'm about to tear this house up to find my Claritin!,'82',"June 16, 2024",Alice Wonderland,John Smith,Royalty Foster,2,37,Outbound,D
"This claritin D just said ""fuck yo sleep drew!"".",'83',"July 17, 2024",Alice Wonderland,John Smith,Virginia Simon,1,16,Inbound,A
@kool_kayy you have a cold Hun. Lol I doubt it's allergies. &amp;claritin does work! xD,'84',"August 18, 2024",Eric Santos,Alex Trinidad,Mack Valenzuela,3,39,Outbound,B
"@SushGirl Also, are you able to take anything to prevent the sneezing (like Claritin or Zyrtec) to eliminate the irritation?",'85',"September 19, 2024",Dan Trolly,Alex Trinidad,Scarlet Phillips,2,39,Inbound,C
"Not surprised one bit we're near the top. Ugh, pass the kleenex and Claritin... http://t.co/VqiCc1bP",'86',"October 20, 2024",Alice Wonderland,Dina Tuto,Royalty Foster,3,72,Outbound,D
"@ZacChastain Haha, sorry! No thank you. I even brought Claritin and Benadryl. #quicklearner",'87',"November 10, 2023",Diana Medoza,Dina Tuto,Royalty Foster,3,72,Outbound,D
@MoreThymeBlog Hi! Good day today. Took 1/2 of a Claritin bcz allergies has been acting up on top of everything. My mom's B'day today! You?,'88',"November 10, 2024",Diana Medoza,Dina Tuto,Royalty Foster,3,72,Outbound,D
My grandma is worried about me bringing Claritin D to school bc she thinks they'll steal it off of me to make crystal meth lmao #ohgrandma,'89',"January 1, 2023",Alice Wonderland,Dina Tuto,Scarlet Phillips,2,0,Outbound,A
@Angelthefurball @dupeehound @sugarcubedog My hairy cousin takes Claritin for itchies!,'90',"February 2, 2023",Eric Santos,John Smith,Mack Valenzuela,2,25,Inbound,B
Those Claritin commercials are a bunch of shit! I took one an hour ago and I still feel horrible. _ÛªÛ_Ûª_Ûªå_ÛªÛ_Ûª__,'91',"March 3, 2023",Dan Trolly,Alex Trinidad,Virginia Simon,0,89,Outbound,C
When a girl says she's sick she wants the D.... Claritin D,'92',"April 4, 2023",Eric Santos,Dina Tuto,Mack Valenzuela,3,100,Inbound,D
"@ShannonMari3 if she's got a cold, give her the claritin-D @Shewantyourdick",'93',"June 5, 2023",Eric Santos,Alex Trinidad,Mack Valenzuela,3,87,Outbound,A
Whoever has a claritin can u please give it to me,'94',"July 6, 2023",Dan Trolly,Dennis Uy,Scarlet Phillips,3,54,Inbound,B
"If she's sick, give her some Claritin D. ((;",'95',"August 7, 2023",Alice Wonderland,John Smith,Virginia Simon,2,34,Outbound,C
im starting to get sick now time to slam claritin and nyquil every night now,'96',"September 8, 2023",Alice Wonderland,Dennis Uy,Royalty Foster,3,89,Inbound,D
@RebeccaHarkin **OH NO*Time for some CLARITIN**Fall alergies are making alot of people sick this time of year*XXX &lt;3 &lt;3 &lt;3,'97',"October 9, 2023",Eric Santos,Dina Tuto,Royalty Foster,2,20,Outbound,A
"So I took a Claritin ""Non Drowsy"" medicine, and it made me drowsy. Just thought I'd let you gyots know",'98',"November 10, 2023",Dan Trolly,Dennis Uy,Virginia Simon,1,48,Inbound,B
If you could only get your head out of your ass you would be able to see so clear... Claritin clear,'99',"January 11, 2024",Dan Trolly,Dennis Uy,Scarlet Phillips,2,59,Outbound,C
Went to the doctor...told him i had headaches and body aches...he gives me claritin -_-,'100',"February 12, 2024",Alice Wonderland,John Smith,Royalty Foster,1,87,Inbound,D
@JonathanRKnight  i personally prefer Claritin,'101',"March 13, 2024",Dan Trolly,Alex Trinidad,Mack Valenzuela,3,92,Outbound,A
I'm trying the generic Claritin that was 2 dollars compared to 12....,'102',"April 14, 2024",Dan Trolly,Dennis Uy,Royalty Foster,2,75,Inbound,B
@sunnyrosemariee Claritin!,'103',"May 15, 2024",Dan Trolly,Dina Tuto,Scarlet Phillips,3,66,Inbound,C
"@_GuttahBxtch Haha, Manee Fuck All That I Need Some Claritin",'104',"June 16, 2024",Alice Wonderland,John Smith,Royalty Foster,3,37,Outbound,D
"@mishysays I killed so many...need to restock on sudafed, tylenol, claritin, nyquil.....",'105',"July 17, 2024",Alice Wonderland,John Smith,Virginia Simon,2,16,Inbound,A
Pharmacy just said meth can be made with Claritin D- with the know-how to do that complicated process why not use that brain power for good?,'106',"August 18, 2024",Eric Santos,Alex Trinidad,Mack Valenzuela,2,39,Outbound,B
"Ûª_Ûª_ÛªÕ@SheVVantsTheD: if she sneezes, give her claritin D.Ûª_Ûª_Ì_å @LashSoccer10",'107',"September 19, 2024",Dan Trolly,Alex Trinidad,Scarlet Phillips,3,39,Inbound,C
@NervousJared damn. My cold happened about 2 weeks ago. I took claritin. My cold lasted 3 days. Good luck to you.,'108',"October 20, 2024",Alice Wonderland,Dina Tuto,Royalty Foster,3,72,Outbound,D
@lissmiss83 morning... Take sum Claritin #hun,'109',"November 10, 2023",Diana Medoza,Dina Tuto,Royalty Foster,3,72,Outbound,D
FREE Claritin for Children (or Adults) at CVS http://t.co/80wMelNv,'110',"November 10, 2024",Diana Medoza,Dina Tuto,Royalty Foster,2,72,Outbound,D
How do you freakin take the cotton ball out of a claritin bottle?? #serioulsy #someonehelpme,'111',"January 1, 2023",Alice Wonderland,Dina Tuto,Scarlet Phillips,1,0,Outbound,A
@kasey_marin they're so good. i'm gonna drink some hot tea. and maybe take claritin.,'112',"February 2, 2023",Eric Santos,John Smith,Mack Valenzuela,3,25,Inbound,B
"@JonathanRKnight My doctor I work for always has us tell our patients to start with Claritin, but I work in pediatrics :)",'113',"March 3, 2023",Dan Trolly,Alex Trinidad,Virginia Simon,3,89,Outbound,C
@cameron_stimson he's on steroids and an antibiotic but I will mention Claritin/allergy meds and see what she says. Thank you!,'114',"April 4, 2023",Eric Santos,Dina Tuto,Mack Valenzuela,2,100,Inbound,D
Does anyone on OCUs campus have Zyrtec or Claritin or some allergy medicine? I forgot to take mine two days in a row. #dying #cantgohome,'115',"June 5, 2023",Eric Santos,Alex Trinidad,Mack Valenzuela,2,87,Outbound,A
Should have taken a Claritin D.... allergies are bad today.,'116',"July 6, 2023",Dan Trolly,Dennis Uy,Scarlet Phillips,2,54,Inbound,B
If a girl sends you the text: Heyy im sick.\nShe wants the Claritin D,'117',"August 7, 2023",Alice Wonderland,John Smith,Virginia Simon,3,34,Outbound,C
@WilliamzMike oh lol *hands you Claritin D*,'118',"September 8, 2023",Alice Wonderland,Dennis Uy,Royalty Foster,3,89,Inbound,D
If a girl sends you the text: Heyy im sick.\nShe wants the Claritin D #ithinkimfunny #HonestHour #FOLLOWME #TheRoyaals,'119',"October 9, 2023",Eric Santos,Dina Tuto,Royalty Foster,3,20,Outbound,A
Claritin could Save My Life Right about Now..,'120',"November 10, 2023",Dan Trolly,Dennis Uy,Virginia Simon,3,48,Inbound,B
Someone that I sit next t in class must have a dog cos I forgot t take Claritin this morning &amp; my allergies are going haywire... X-P,'121',"January 11, 2024",Dan Trolly,Dennis Uy,Scarlet Phillips,2,59,Outbound,C
Took a Claritin last night and it was my worse decision I've ever made.,'122',"February 12, 2024",Alice Wonderland,John Smith,Royalty Foster,0,87,Inbound,D
@JonathanRKnight Claritin is what I see most prescribed and most well received among my patients!,'123',"March 13, 2024",Dan Trolly,Alex Trinidad,Mack Valenzuela,4,92,Outbound,A
Thank goodness for Claritin _ÛªÛ_Ûª_ÛªÌ¢_ÛªÛ_ÛªÌÛÛªÌ¢ #allergies,'124',"April 14, 2024",Dan Trolly,Dennis Uy,Royalty Foster,3,75,Inbound,B
"@amyrh715 @mollynaugher You should try Claritin. Stick with it awhile, as it works better daily. Allergies for me often ""bloom"" into a cold.",'125',"May 15, 2024",Dan Trolly,Dina Tuto,Scarlet Phillips,3,66,Inbound,C
Children's grape Claritin is so good.....,'126',"June 16, 2024",Alice Wonderland,John Smith,Royalty Foster,3,37,Outbound,D
Ûª_Ûª_ÛªÕ@iSpeakComedy: If a girl sends you the text: Heyy im sick.\nShe wants the Claritin DÛª_Ûª_Ì_å @chrissytt1018 _ÛªÛ_Ûª__ #laughingfordays,'127',"July 17, 2024",Alice Wonderland,John Smith,Virginia Simon,3,16,Inbound,A
I love Claritin D. #plantsstophavingsex #allergies,'128',"August 18, 2024",Eric Santos,Alex Trinidad,Mack Valenzuela,3,39,Outbound,B
S/O to Claritin,'129',"September 19, 2024",Dan Trolly,Alex Trinidad,Scarlet Phillips,2,39,Inbound,C
""" If she's feeling sick give her some Claritin 'D' "" @SheswantstheD @bmusgrave72",'130',"October 20, 2024",Alice Wonderland,Dina Tuto,Royalty Foster,3,72,Outbound,D
@EpiDG @ZERAUJ_ZM LMAO! Dear Mr. G here is the invoice for our date: Chai Latte $4.19 / Ride to your house: $10 / $2 discount for claritin,'131',"November 10, 2023",Diana Medoza,Dina Tuto,Royalty Foster,2,72,Outbound,D
@JonathanRKnight If its in your head Zyrtec is best Claritin for just nose &amp; allegra for chest and sneezing.  Eyes = visine drops.,'132',"November 10, 2024",Diana Medoza,Dina Tuto,Royalty Foster,3,72,Outbound,D
